idVenta,FechaPedido,FechaEntrega,TipoCliente,TipoInstitucion,Cliente,Ciudad,Direccion,TipoAdquisicion,TipoCompra,precio_unitario,Cantidad,CodEquipo,MontoTotal
821563,2021-07-06,2022-01-12,Institución,Privada,"Ortega, Bernad and Bárcena",Oruro,"Paseo de Brígida Zabaleta 975 Puerta 9 
Ciudad, 16657",Licitación,Tienda,3500,37,QP-NY50,129500
106774,2023-04-07,2023-09-14,Institución,Pública,Gobierno Autónomo Municipal de Cobija,Santa Cruz,"Via de Roque Correa 23
Cádiz, 12882",Compra directa,Tienda,3500,90,QP-TPC200,315000
810406,2020-01-15,2020-07-16,Persona,NaN,Esmeralda Espinosa Company,Santa Cruz,"C. Silvestre Gutierrez 61
Jaén, 05016",Licitación,en Línea,8700,93,QP-AIOB200,809100
724558,2021-01-06,2021-02-03,Institución,Pública,Gobierno Autónomo Departamental de Beni,Cochabamba,"Acceso Evelia Gallego 46
Girona, 10373",Licitación,Tienda,6500,27,QP-KC500,175500
165352,2021-11-17,2023-06-14,Persona,NaN,Julia Torrens Izquierdo,La Paz,"Vial de Fidel Cazorla 87
Ávila, 20040",Compra directa,en Línea,9000,61,QP-AIOB300,549000
685144,2022-06-11,2024-05-27,Institución,Pública,Gobierno Autónomo Departamental de Oruro,Cochabamba,"Calle de Silvio Almagro 264 Puerta 7 
Granada, 12997",Compra directa,Tienda,3500,87,QP-NY50,304500
38129,2019-10-16,2020-06-25,Institución,Privada,"Blanch, Aguilera and Milla",Santa Cruz,"Via Cosme Canales 82
Valencia, 40408",Licitación,en Línea,8700,81,QP-AIOB200,704700
614737,2023-08-08,2024-05-07,Institución,Pública,Gobierno Autónomo Departamental de Santa Cruz,Potosi,"Callejón de Fabián Gaya 52 Puerta 7 
Burgos, 06281",Compra directa,en Línea,1800,43,QP-TINKU300,77400
5513,2023-01-08,2024-05-10,Institución,Pública,Gobierno Autónomo Departamental de Tarija,Oruro,"Camino de Loreto Amaya 11 Puerta 9 
Toledo, 44327",Compra directa,en Línea,7500,33,QP-SC700,247500
852631,2023-04-13,2023-04-16,Persona,NaN,Carolina Clementina Navas Sarabia,Potosi,"Callejón de Enrique Bustos 83
Jaén, 19211",Licitación,Tienda,6500,67,QP-KC500,435500
703444,2022-07-28,2024-01-10,Persona,NaN,Bautista Miguel Vilaplana,Tarija,"Vial Roberta Iglesias 98 Puerta 9 
Zamora, 51842",Compra directa,Tienda,3500,63,QP-CPE250,220500
969014,2023-05-27,2024-06-11,Persona,NaN,Domingo Vizcaíno Nebot,Beni,"Paseo de Elías Aragonés 27 Puerta 1 
Segovia, 08282",Compra directa,en Línea,9500,88,QP-SC1000,836000
230938,2023-09-21,2024-01-29,Institución,Privada,Polo Inc,La Paz,"Alameda de Elena Iriarte 33 Piso 8 
Álava, 35226",Licitación,Tienda,3500,23,QP-QP200,80500
377568,2019-10-01,2019-12-22,Persona,NaN,Edelmira Robles Durán,Chuquisaca,"Pasadizo Raimundo Vilalta 15
Valencia, 10546",Licitación,Tienda,9500,45,QP-SC1000,427500
936541,2019-08-05,2021-07-16,Persona,NaN,Leocadio de Miranda,Potosi,"Avenida Juana Ocaña 478 Piso 7 
Huesca, 45122",Licitación,Tienda,9000,4,QP-AIOB300,36000
270989,2020-05-26,2022-04-23,Persona,NaN,Merche Escobar Jáuregui,Tarija,"Callejón Eliana Morata 63
Asturias, 06922",Licitación,en Línea,3500,97,QP-CPE250,339500
287589,2021-05-17,2023-03-11,Institución,Pública,Gobierno Municipal de La Paz,Tarija,"Rambla Domitila Ortuño 99
León, 37330",Licitación,Tienda,3000,53,QP-K101,159000
498753,2020-08-11,2021-09-05,Institución,Pública,Gobierno Autónomo Departamental de Santa Cruz,Tarija,"Avenida de Amando Olmedo 4
Castellón, 43034",Compra directa,en Línea,3300,52,QP-SK105,171600
279474,2021-04-24,2022-07-22,Institución,Privada,"Rodrigo, Mosquera and Calvo",Santa Cruz,"Callejón Marisela Vara 871
Guipúzcoa, 29731",Licitación,Tienda,3500,70,QP-CPE250,245000
925923,2022-02-20,2024-05-25,Institución,Privada,Arribas-Morales,Potosi,"Calle de Ligia Burgos 3
Ourense, 31220",Licitación,en Línea,1800,12,QP-TINKU300,21600
720859,2019-07-13,2020-02-22,Institución,Pública,Gobierno Autónomo Municipal de Tarija,Beni,"Camino Rocío Andrés 84
Zamora, 12105",Licitación,en Línea,6500,37,QP-KC500,240500
201319,2023-11-13,2024-01-21,Institución,Privada,Dalmau PLC,Pando,"Pasadizo Manolo Jimenez 67
Segovia, 10130",Compra directa,en Línea,3000,50,QP-K101,150000
570137,2023-10-07,2024-06-04,Persona,NaN,Amor Ugarte Chico,Tarija,"Calle Soledad Rebollo 37 Puerta 1 
Almería, 02690",Licitación,Tienda,3500,91,QP-TPC200,318500
1622,2020-10-10,2021-02-12,Institución,Pública,Concejo Municipal de Santa Cruz,La Paz,"Ronda Angélica Borrás 1
Lugo, 25274",Licitación,Tienda,8500,63,QP-AIOB100,535500
342688,2024-04-28,2024-05-28,Persona,NaN,Eliseo Valverde-Blázquez,Chuquisaca,"Cuesta de Juanito Agullo 978 Piso 4 
Las Palmas, 44535",Compra directa,Tienda,3200,63,QP-QP100,201600
504427,2021-03-11,2022-09-29,Institución,Privada,"Canet, Abascal and Velázquez",Potosi,"Camino de Lucía Gabaldón 32
Valencia, 31080",Compra directa,en Línea,3200,82,QP-QP100,262400
7806,2022-03-08,2023-04-30,Institución,Privada,Ordóñez-Pardo,Tarija,"Rambla Cristian Ariño 67 Apt. 25 
Tarragona, 18871",Compra directa,Tienda,1200,3,QP-HEKA120,3600
880829,2024-05-07,2024-06-11,Institución,Pública,Gobierno Autónomo Departamental de Pando,La Paz,"Vial de Américo Nogués 1 Puerta 9 
Ciudad, 48789",Compra directa,en Línea,1200,3,QP-HEKA120,3600
69382,2019-09-20,2024-02-01,Institución,Privada,Lasa-Cantón,Pando,"Ronda Gerónimo Palacios 33 Puerta 3 
Zaragoza, 14137",Licitación,en Línea,9000,57,QP-AIOB300,513000
991697,2020-10-07,2023-02-09,Persona,NaN,Bienvenida Fiol Tomas,Beni,"Cañada Flor Arnaiz 778 Puerta 6 
Vizcaya, 16856",Compra directa,Tienda,1800,7,QP-TINKU300,12600
761629,2024-02-04,2024-04-14,Persona,NaN,Luciana Giménez Arroyo,Santa Cruz,"Pasaje de Renata Pujadas 58
Valencia, 24285",Compra directa,Tienda,9000,56,QP-AIOB300,504000
237835,2021-08-10,2022-09-19,Institución,Pública,Gobierno Autónomo Departamental de Potosí,La Paz,"Pasadizo de Herberto Roldán 21 Apt. 72 
Melilla, 09866",Compra directa,en Línea,1800,44,QP-TINKU300,79200
31747,2020-07-20,2023-09-22,Institución,Privada,"Lobo, Sabater and Santamaría",Cochabamba,"Alameda de Teodora Coello 37 Piso 5 
La Coruña, 14854",Compra directa,en Línea,8700,58,QP-AIOB200,504600
478484,2020-06-23,2022-09-20,Institución,Privada,Iniesta Inc,Potosi,"Pasadizo de León Campo 47 Puerta 9 
Segovia, 14401",Licitación,Tienda,3200,50,QP-QP100,160000
486875,2020-08-18,2022-07-15,Institución,Pública,Gobierno Autónomo Departamental de La Paz,Cochabamba,"Via Íngrid Cuenca 4
Ciudad, 14187",Licitación,Tienda,3500,6,QP-QP200,21000
514995,2023-11-11,2024-02-15,Persona,NaN,Herminio Barreda Verdejo,Oruro,"Urbanización de Nazario Tormo 102
Cáceres, 05962",Compra directa,en Línea,3500,60,QP-CPE250,210000
335383,2023-08-24,2024-01-25,Persona,NaN,Francisca de Vicente,Pando,"Vial de Rosalina Casado 20
Baleares, 49301",Compra directa,Tienda,3300,60,QP-SK105,198000
411040,2019-12-22,2021-02-16,Institución,Privada,Godoy-Torrents,Santa Cruz,"C. de Ainara Torrents 95 Piso 3 
Murcia, 34027",Compra directa,Tienda,9500,41,QP-SC1000,389500
477616,2020-01-09,2023-11-26,Institución,Pública,Gobierno Autónomo Departamental de La Paz,La Paz,"Cuesta Baldomero Carrión 95 Apt. 08 
Badajoz, 51456",Licitación,Tienda,8700,87,QP-AIOB200,756900
842554,2021-07-06,2022-07-09,Persona,NaN,Ángela Lloret Llabrés,La Paz,"Acceso Candela Huerta 5 Puerta 1 
Palencia, 17483",Licitación,en Línea,3300,12,QP-SK105,39600
604694,2019-10-15,2023-03-15,Persona,NaN,Xiomara Fuster Aliaga,Santa Cruz,"Via Etelvina Verdejo 88
Castellón, 33596",Licitación,Tienda,1200,23,QP-HEKA120,27600
572021,2022-07-31,2023-02-16,Institución,Pública,Gobierno Autónomo Departamental de Potosí,Santa Cruz,"Camino Fanny Arnaiz 1
La Rioja, 18638",Compra directa,en Línea,3000,87,QP-K101,261000
341122,2020-03-26,2021-06-11,Persona,NaN,Ligia del Iglesia,Pando,"Avenida Ema Prieto 758 Piso 4 
Ourense, 21736",Compra directa,Tienda,3500,16,QP-QP200,56000
960423,2022-10-19,2024-06-18,Persona,NaN,Leticia Luque Mena,Santa Cruz,"Plaza Ciriaco Cervera 74 Puerta 7 
Las Palmas, 06756",Compra directa,Tienda,7500,41,QP-SC700,307500
545251,2022-04-30,2022-11-27,Persona,NaN,Edmundo Montserrat-Gomez,Beni,"Acceso Loreto Gil 18
Albacete, 10152",Licitación,Tienda,1200,2,QP-HEKA120,2400
289628,2022-12-07,2024-06-10,Institución,Privada,Esteban-Prat,Potosi,"Cañada Lourdes Casals 38 Piso 5 
Ávila, 05486",Licitación,en Línea,8700,14,QP-AIOB200,121800
995445,2024-05-24,2024-06-19,Institución,Privada,Toro Inc,Pando,"Plaza de Chema Neira 9 Puerta 6 
Burgos, 10232",Compra directa,en Línea,1800,51,QP-TINKU300,91800
500116,2021-04-11,2024-03-22,Institución,Pública,Gobierno Autónomo Departamental de Tarija,Pando,"Via Segismundo Polo 965 Apt. 95 
Asturias, 20584",Licitación,Tienda,8500,24,QP-AIOB100,204000
383156,2022-02-09,2024-01-20,Persona,NaN,Luis Laguna Marí,La Paz,"Cañada de Teo Riba 55 Apt. 30 
Castellón, 18576",Licitación,Tienda,9500,46,QP-SC1000,437000
47230,2020-05-02,2023-02-10,Institución,Privada,Vera-Puig,Chuquisaca,"Pasadizo de Daniela Rivera 66 Puerta 1 
Santa Cruz de Tenerife, 34068",Licitación,Tienda,3500,24,QP-NY50,84000
408840,2023-01-02,2023-09-01,Persona,NaN,Pacífica Rico Pol,Pando,"Vial Carlota Diéguez 51
Guipúzcoa, 35548",Compra directa,Tienda,7500,88,QP-SC700,660000
84803,2020-08-28,2022-10-24,Institución,Pública,Concejo Municipal de Santa Cruz,Cochabamba,"Calle Teresa Mancebo 188
Granada, 39915",Licitación,Tienda,3300,27,QP-SK105,89100
501845,2020-05-06,2021-07-08,Persona,NaN,Felicia Abellán-Cerdá,La Paz,"Pasadizo de Simón Alemany 67
Las Palmas, 34223",Compra directa,Tienda,6500,5,QP-KC500,32500
616287,2020-12-29,2024-04-20,Institución,Pública,Gobierno Autónomo Departamental de Beni,Tarija,"Glorieta de Antonia Quirós 50 Piso 5 
Zamora, 39595",Compra directa,en Línea,3500,49,QP-CPE250,171500
280971,2023-05-19,2023-06-29,Institución,Privada,"Vélez, Serra and Pablo",Beni,"Vial Emiliana Ribes 51 Puerta 7 
Málaga, 51250",Licitación,Tienda,3500,2,QP-CPE250,7000
657917,2021-11-25,2022-05-23,Persona,NaN,Tristán Leon Vall,Chuquisaca,"Avenida Abraham Campoy 17
Santa Cruz de Tenerife, 18249",Licitación,en Línea,3500,68,QP-CPE250,238000
117978,2024-03-28,2024-03-31,Institución,Privada,"Aznar, Santamaría and Berenguer",Beni,"Alameda Demetrio Rebollo 41
Ourense, 37479",Compra directa,en Línea,1200,98,QP-HEKA120,117600
409021,2021-05-13,2023-02-09,Persona,NaN,Íngrid Mercader Aguado,La Paz,"C. Jacinta Almagro 12 Apt. 09 
Lleida, 29001",Compra directa,Tienda,9500,17,QP-SC1000,161500
975446,2022-04-15,2022-12-12,Institución,Privada,Ballester Group,Santa Cruz,"Callejón de Soledad Corominas 54 Apt. 45 
Valencia, 04028",Compra directa,en Línea,8700,32,QP-AIOB200,278400
877912,2022-01-29,2024-04-14,Persona,NaN,Alicia Flor,Chuquisaca,"Calle de Humberto Cámara 17
Huelva, 36322",Licitación,en Línea,9000,14,QP-AIOB300,126000
178904,2020-04-02,2022-09-27,Institución,Privada,"Arenas, Peinado and Clavero",Oruro,"Via de Ruperta Arellano 356 Apt. 83 
Albacete, 47322",Compra directa,en Línea,3500,43,QP-QP200,150500
673870,2023-12-19,2024-01-10,Persona,NaN,Renata Grande Rodriguez,Beni,"Via de Jose Ramón Pascual 5 Piso 3 
Burgos, 26480",Compra directa,Tienda,6500,8,QP-KC500,52000
334789,2021-09-16,2024-02-10,Institución,Pública,Gobierno Autónomo Departamental de Oruro,Chuquisaca,"Alameda Florinda Jove 813 Piso 2 
Tarragona, 45278",Compra directa,Tienda,3500,12,QP-TPC200,42000
443400,2022-03-20,2022-07-02,Persona,NaN,Leoncio Carretero Sainz,Chuquisaca,"Avenida de Zacarías Quintanilla 46
Cádiz, 25857",Licitación,Tienda,8700,1,QP-AIOB200,8700
327016,2021-10-01,2024-04-29,Persona,NaN,Ramiro Mateo Benet,Pando,"Ronda de Lucila Lozano 22
Ciudad, 10323",Compra directa,en Línea,3000,69,QP-K101,207000
783159,2024-05-20,2024-06-08,Institución,Privada,"Vallejo, Torrent and Gabaldón",La Paz,"Via Abel Echeverría 53
Girona, 16572",Licitación,Tienda,7500,15,QP-SC700,112500
963222,2020-11-25,2021-10-30,Institución,Privada,"Checa, Juliá and Galan",Potosi,"Vial Tatiana Moya 178
Segovia, 45020",Licitación,Tienda,8700,13,QP-AIOB200,113100
267392,2020-01-30,2020-08-30,Institución,Pública,Gobierno Autónomo Departamental de Potosí,Oruro,"Paseo de Andrés Gordillo 48 Apt. 94 
Las Palmas, 31695",Licitación,Tienda,3200,18,QP-QP100,57600
558857,2020-10-11,2024-05-28,Institución,Privada,"Valera, Llobet and Guerra",Beni,"Rambla César Carrión 45 Apt. 33 
Ceuta, 32077",Licitación,Tienda,3500,38,QP-TPC200,133000
423485,2022-05-02,2023-08-08,Institución,Privada,Cantero PLC,Cochabamba,"Vial Clementina Cañas 28
Toledo, 11889",Licitación,Tienda,3300,19,QP-SK105,62700
145275,2022-04-02,2022-06-08,Institución,Privada,"Quirós, Querol and Gallego",La Paz,"Urbanización Jacinto Malo 3
Navarra, 04876",Compra directa,Tienda,6500,52,QP-KC500,338000
844258,2023-11-28,2024-06-25,Institución,Privada,Machado Inc,Tarija,"Via de Rosario Ponce 7
Ourense, 12881",Compra directa,Tienda,7500,1,QP-SC700,7500
714204,2021-06-20,2024-04-12,Persona,NaN,Gabriel Carreño-Puga,Potosi,"Rambla de Obdulia Amores 8 Apt. 36 
Cáceres, 04448",Compra directa,en Línea,3500,2,QP-NY50,7000
451340,2021-02-16,2021-11-20,Institución,Privada,"Guitart, Alegria and Cerdá",Santa Cruz,"Alameda de Berto Pelayo 21
Sevilla, 28246",Compra directa,en Línea,8700,58,QP-AIOB200,504600
509732,2023-11-12,2024-03-20,Persona,NaN,Patricia Llano Revilla,Potosi,"C. de Lupe Taboada 43
Valladolid, 32035",Compra directa,en Línea,8500,38,QP-AIOB100,323000
17146,2022-09-11,2023-05-31,Persona,NaN,Xavier Valera Nadal,Oruro,"Alameda Maximiliano Franch 4 Apt. 07 
Ceuta, 25238",Compra directa,Tienda,3500,54,QP-CPE250,189000
64196,2021-03-18,2022-08-04,Institución,Pública,Gobierno Autónomo Departamental de Chuquisaca,Chuquisaca,"Ronda Marcela Barrena 77 Apt. 29 
Albacete, 05053",Compra directa,en Línea,9000,44,QP-AIOB300,396000
549437,2024-02-23,2024-06-09,Institución,Privada,Alemany Ltd,Potosi,"Ronda Marina Torrens 76
Guadalajara, 16093",Licitación,en Línea,9000,69,QP-AIOB300,621000
735461,2020-01-04,2021-09-12,Institución,Pública,Gobierno Autónomo Departamental de Beni,Cochabamba,"Callejón Dionisia Olmo 10
Lugo, 28253",Licitación,en Línea,3300,68,QP-SK105,224400
207929,2021-04-05,2023-11-20,Institución,Privada,"Santamaría, Jimenez and Azcona",Santa Cruz,"Camino de Sabas Rios 43 Piso 6 
Cádiz, 43318",Compra directa,Tienda,3200,64,QP-QP100,204800
813024,2020-08-20,2021-12-03,Institución,Pública,Gobierno Autónomo Departamental de Oruro,Pando,"Glorieta Luis Ángel Gutierrez 21 Puerta 4 
Pontevedra, 08720",Licitación,Tienda,3000,48,QP-K101,144000
485166,2020-10-17,2023-06-07,Institución,Privada,"Collado, Pagès and Bautista",Tarija,"Pasaje Balduino Moles 7 Puerta 2 
Alicante, 34568",Licitación,en Línea,8700,68,QP-AIOB200,591600
109807,2020-10-08,2022-01-31,Persona,NaN,Cintia Villalonga-Fuertes,Beni,"Acceso de Lidia Vallés 11
Cádiz, 22910",Compra directa,en Línea,8700,87,QP-AIOB200,756900
582659,2020-01-19,2021-01-05,Persona,NaN,Otilia Estrada,Cochabamba,"Paseo Carina Ayala 82
La Rioja, 08276",Compra directa,Tienda,3500,41,QP-NY50,143500
562189,2021-02-02,2021-07-16,Institución,Pública,Gobierno Autónomo Departamental de Cochabamba,Oruro,"Plaza de Pilar Alba 29 Apt. 62 
Tarragona, 43316",Licitación,en Línea,1800,65,QP-TINKU300,117000
68471,2021-04-11,2022-05-02,Institución,Privada,"Mena, Molins and Vall",Tarija,"Rambla María Dolores Cervera 51
Jaén, 03218",Licitación,en Línea,8700,40,QP-AIOB200,348000
562951,2022-01-03,2024-02-14,Institución,Privada,Aguado-Batlle,Chuquisaca,"Cañada Yago Vall 2
Melilla, 47971",Licitación,Tienda,8700,9,QP-AIOB200,78300
910016,2022-11-20,2023-01-22,Persona,NaN,Charo Ema Cerezo Almeida,Potosi,"Rambla Carlota Canals 98 Puerta 2 
Castellón, 17151",Compra directa,en Línea,3500,96,QP-NY50,336000
314149,2019-09-02,2021-10-26,Institución,Privada,"Viñas, Sevillano and Iriarte",Santa Cruz,"Glorieta de Ciriaco Ruiz 17
La Coruña, 08168",Licitación,en Línea,9500,93,QP-SC1000,883500
675355,2024-05-20,2024-06-07,Institución,Pública,Gobierno Autónomo Municipal de Tarija,Santa Cruz,"Avenida de Onofre Rius 59
Melilla, 27400",Compra directa,Tienda,3500,26,QP-QP200,91000
225165,2023-01-12,2024-03-30,Persona,NaN,Cristian Patiño Alvarado,Tarija,"Acceso de Belén Castellanos 15
Tarragona, 41061",Compra directa,en Línea,1800,66,QP-TINKU300,118800
458840,2020-07-19,2024-06-09,Institución,Privada,Tomé-Sevilla,Pando,"Rambla de Galo Blanch 39
Las Palmas, 07011",Licitación,Tienda,3500,28,QP-CPE250,98000
185577,2023-07-08,2023-11-24,Institución,Privada,Reguera and Sons,Santa Cruz,"Rambla Corona Tur 20 Piso 4 
Murcia, 33885",Licitación,en Línea,1800,57,QP-TINKU300,102600
494033,2022-07-02,2024-05-17,Institución,Privada,Murcia-Manzano,Oruro,"Plaza de Azucena Mosquera 595
Soria, 13885",Licitación,Tienda,7500,58,QP-SC700,435000
45984,2021-04-01,2021-09-19,Persona,NaN,Perla Guardiola Calzada,Pando,"Alameda de Nilo Morales 67
Ávila, 23175",Licitación,en Línea,8500,39,QP-AIOB100,331500
410917,2020-02-04,2021-04-09,Institución,Pública,Gobierno Autónomo Departamental de La Paz,Potosi,"Plaza de Alfredo Elorza 624
Guadalajara, 26702",Licitación,Tienda,9500,17,QP-SC1000,161500
403203,2019-09-20,2023-08-28,Persona,NaN,Eugenio Marti Bermúdez,Oruro,"Camino de Miguel Ángel Morata 994 Piso 7 
Soria, 32265",Compra directa,en Línea,3500,88,QP-NY50,308000
764019,2022-01-07,2022-11-19,Persona,NaN,Adelina Jacinta Boix Nebot,Oruro,"Pasaje de Yaiza Cáceres 13 Puerta 9 
Girona, 25767",Licitación,Tienda,7500,13,QP-SC700,97500
735244,2019-06-17,2022-02-12,Institución,Privada,"Angulo, Cantero and Vallés",Beni,"Ronda de José Arana 7
Cádiz, 03601",Compra directa,Tienda,8500,89,QP-AIOB100,756500
639669,2021-11-06,2024-01-17,Persona,NaN,Nélida Guillén-Acevedo,Cochabamba,"C. Espiridión Tomás 593
Madrid, 38502",Licitación,Tienda,3000,56,QP-K101,168000
158413,2022-08-11,2023-04-24,Institución,Privada,"Salmerón, Ojeda and Santana",Cochabamba,"Via Pilar Peral 43 Piso 5 
Ciudad, 33763",Licitación,Tienda,1200,98,QP-HEKA120,117600
807549,2022-06-22,2024-05-30,Persona,NaN,Miriam Durán Rubio,Beni,"Glorieta de Ximena Cabrera 75 Piso 3 
Huelva, 40618",Compra directa,en Línea,3000,42,QP-K101,126000
311653,2019-10-12,2021-01-28,Persona,NaN,Cristóbal Llano-Hurtado,Pando,"Vial Joel Cabeza 2 Piso 5 
La Rioja, 44897",Compra directa,en Línea,1200,10,QP-HEKA120,12000
312576,2022-10-04,2023-10-08,Institución,Privada,"Suárez, Cañete and Arteaga",Santa Cruz,"Callejón de María Cuervo 406
Salamanca, 13955",Compra directa,en Línea,3500,22,QP-NY50,77000
663286,2022-10-18,2023-09-21,Institución,Pública,Gobierno Autónomo Municipal de Cobija,Pando,"Cuesta Lupe Hidalgo 72 Piso 0 
Ciudad, 38275",Licitación,Tienda,3000,79,QP-K101,237000
430695,2022-01-16,2023-07-21,Persona,NaN,Sonia Busquets,Potosi,"Cañada Atilio Borrego 39 Piso 7 
Zaragoza, 19374",Licitación,Tienda,9500,17,QP-SC1000,161500
152001,2023-01-31,2024-01-03,Persona,NaN,Vicenta del Pujadas,Tarija,"Glorieta Santiago Almagro 47 Puerta 4 
Tarragona, 32639",Compra directa,en Línea,3300,50,QP-SK105,165000
414075,2023-04-22,2023-10-29,Persona,NaN,Trini Miguela Porras Luís,Beni,"Urbanización de Otilia Burgos 9
Asturias, 25335",Licitación,en Línea,1800,17,QP-TINKU300,30600
421788,2023-04-08,2023-06-07,Institución,Pública,Gobierno Autónomo Departamental de Tarija,Oruro,"Calle Edelmira Mora 29
Guadalajara, 05804",Licitación,Tienda,8700,12,QP-AIOB200,104400
740567,2021-11-27,2022-08-11,Persona,NaN,Amparo Trini Nicolau Garrido,Beni,"Pasadizo de Aurelia Carranza 16 Apt. 56 
Valladolid, 23543",Licitación,Tienda,3500,10,QP-QP200,35000
415873,2020-06-10,2022-09-09,Persona,NaN,Valentina Fuente Alfonso,Potosi,"Vial de Isaura Carballo 6
Huelva, 13300",Compra directa,Tienda,9500,20,QP-SC1000,190000
727916,2024-02-28,2024-05-26,Persona,NaN,Julie Mármol Moll,Oruro,"Alameda de Chelo Mosquera 5
La Rioja, 40279",Compra directa,en Línea,9000,25,QP-AIOB300,225000
228268,2021-06-23,2022-05-15,Persona,NaN,Eugenia Hilda Baena Zamora,Oruro,"Paseo Isaac Hierro 621 Puerta 3 
Soria, 47495",Licitación,en Línea,3300,37,QP-SK105,122100
858569,2022-12-17,2023-02-18,Institución,Pública,Gobierno Autónomo Departamental de Pando,Beni,"Pasaje de Manu Carrión 51
Baleares, 44051",Licitación,Tienda,6500,97,QP-KC500,630500
971852,2019-12-12,2021-12-06,Persona,NaN,Claudia Piña,Beni,"Acceso Clarisa Blázquez 28 Piso 3 
Barcelona, 27650",Licitación,en Línea,3300,9,QP-SK105,29700
715979,2024-03-01,2024-03-20,Persona,NaN,Pastora Albero Mayoral,La Paz,"Calle Carlos Cañas 92
Baleares, 28718",Compra directa,en Línea,3000,73,QP-K101,219000
7059,2021-12-22,2022-01-30,Institución,Pública,Gobierno Municipal de Trinidad,Pando,"Urbanización Moreno Guijarro 32
Alicante, 08073",Licitación,Tienda,3500,12,QP-TPC200,42000
390586,2020-07-23,2022-10-30,Persona,NaN,Ainara González Abascal,Tarija,"Avenida de Edu Bayón 15
La Rioja, 33174",Licitación,en Línea,6500,37,QP-KC500,240500
935406,2022-05-26,2023-07-20,Persona,NaN,Clarisa Dominguez Rueda,Pando,"Ronda de Herminia Elías 33 Piso 7 
Las Palmas, 21334",Licitación,en Línea,1800,28,QP-TINKU300,50400
249917,2024-04-28,2024-05-15,Persona,NaN,Zoraida Natividad Lamas Saez,Chuquisaca,"Plaza de Roldán Lobo 6 Puerta 9 
Valladolid, 50522",Compra directa,Tienda,8700,35,QP-AIOB200,304500
107380,2022-07-09,2022-11-20,Institución,Pública,Concejo Municipal de Santa Cruz,Santa Cruz,"Callejón Darío Blanca 67 Apt. 85 
Pontevedra, 41635",Compra directa,en Línea,7500,48,QP-SC700,360000
341574,2021-07-30,2023-09-06,Persona,NaN,Eutropio Aller Miguel,Santa Cruz,"Paseo Arcelia Pinto 78 Piso 6 
León, 41354",Licitación,en Línea,1800,9,QP-TINKU300,16200
811897,2022-12-08,2024-01-05,Institución,Privada,"Toledo, Falcón and Hervia",Santa Cruz,"Cañada Miguel Bou 556 Piso 1 
Ciudad, 40466",Compra directa,Tienda,8500,79,QP-AIOB100,671500
391644,2021-06-07,2022-10-14,Persona,NaN,Jordi Nogueira Alcázar,Chuquisaca,"Rambla de Ruth Sanz 903
Guadalajara, 44267",Licitación,Tienda,9000,45,QP-AIOB300,405000
460315,2023-08-18,2023-09-11,Institución,Pública,Gobierno Autónomo Departamental de Pando,Cochabamba,"Via Angélica Núñez 1
Toledo, 32247",Compra directa,Tienda,3500,95,QP-CPE250,332500
